name,position,tier,league_price,ai_ceiling,value_gap,system_signal,value_assessment,pay_up_flag,proj_ppr,actual_ppr,actual_games,actual_vpd,was_good_buy,system_correct,injury_shortened,dep_net_impact,dep_flag_count,dep_displaced,dep_contingent,dep_beneficiary,beat_signal_count,injury_risk_modifier,injury_projected_games,was_good_buy_flat_vpd,price_implied_ppr
Michael Woods,WR,,0.0,0.0,0.0,,,False,,,,,False,,False,0.0,0,0,0,0,0,,,False,
Ben Nikkel,WR,,0.0,0.0,0.0,,,False,,,,,False,,False,0.0,0,0,0,0,0,,,False,
Drew Belcher,TE,,0.0,0.0,0.0,,,False,,,,,False,,False,0.0,0,0,0,0,0,,,False,
C.J. Conrad,TE,,0.0,0.0,0.0,,,False,,,,,False,,False,0.0,0,0,0,0,0,,,False,
Connor Slomka,RB,,0.0,0.0,0.0,,,False,,,,,False,,False,0.0,0,0,0,0,0,,,False,
Dwayne Haskins,QB,,0.0,0.0,0.0,,,False,,,,,False,,False,0.0,0,0,0,0,0,-0.1,,False,
Taylor Cornelius,QB,,0.0,0.0,0.0,,,False,,,,,False,,False,0.0,0,0,0,0,0,,,False,
Romello Brinson,WR,5.0,0.0,1.0,0.0,,,False,121.1,,,,False,,False,0.0,0,0,0,0,0,0.0,,False,
Michael Wilson,WR,5.0,0.0,1.0,0.0,,,False,134.4,220.6,17.0,,False,,False,0.0,0,0,0,0,0,-0.3,14.0,False,
Marcus Burke,WR,,0.0,0.0,0.0,,,False,,,,,False,,False,-0.10999999999999999,4,2,2,0,0,,,False,
Josh Stewart,WR,,0.0,0.0,0.0,,,False,,,,,False,,False,0.0,0,0,0,0,0,,,False,
Shaun Wilson,RB,,0.0,0.0,0.0,,,False,,,,,False,,False,0.0,0,0,0,0,0,,,False,
Max Duggan,QB,,0.0,0.0,0.0,,,False,,,,,False,,False,0.0,0,0,0,0,0,,,False,
Derek Hagan,WR,,0.0,0.0,0.0,,,False,,,,,False,,False,0.0,0,0,0,0,0,,,False,
Shakim Phillips,WR,,0.0,0.0,0.0,,,False,,,,,False,,False,0.0,0,0,0,0,0,,,False,
Jameis Winston,QB,5.0,0.0,1.0,0.0,,,False,95.0,43.28,3.0,,False,,True,-1.8399999999999999,2,1,1,0,0,-0.15,8.0,False,
Theo Johnson,TE,5.0,0.0,1.0,0.0,,,False,98.0,127.8,15.0,,False,,False,-2.1500000000000004,2,1,1,0,0,-0.3,,False,
Evan Engram,TE,4.0,4.0,6.0,2.0,neutral,slight_overpay,False,148.0,102.8,16.0,25.7,False,,False,12.0,1,0,0,1,0,-0.23,13.0,True,152.2
Lamar Jackson,QB,1.0,32.0,48.0,16.0,buy,fair_value,False,390.0,212.86,13.0,6.65,False,False,False,0.0,0,0,0,0,0,-0.04,16.0,True,236.1
Ryquell Armstead,RB,,0.0,0.0,0.0,,,False,,,,,False,,False,0.0,0,0,0,0,0,,,False,
Mario Alford,WR,,0.0,0.0,0.0,,,False,,,,,False,,False,0.0,0,0,0,0,0,,,False,
Mark Thompson,RB,,0.0,0.0,0.0,,,False,,,,,False,,False,0.0,0,0,0,0,0,,,False,
Quadree Henderson,WR,,0.0,0.0,0.0,,,False,,,,,False,,False,0.0,0,0,0,0,0,,,False,
Chase Allen,TE,,0.0,0.0,0.0,,,False,,,,,False,,False,0.0,0,0,0,0,0,,,False,
K.J. Brent,WR,,0.0,0.0,0.0,,,False,,,,,False,,False,0.0,0,0,0,0,0,,,False,
Daniel Sobkowicz,WR,,0.0,0.0,0.0,,,False,,,,,False,,False,0.0,0,0,0,0,0,0.0,,False,
Dontre Wilson,WR,,0.0,0.0,0.0,,,False,,,,,False,,False,0.0,0,0,0,0,0,,,False,
Marcus Martin,RB,,0.0,0.0,0.0,,,False,,,,,False,,False,0.0,0,0,0,0,0,,,False,
Damarr Aultman,WR,,0.0,0.0,0.0,,,False,,,,,False,,False,0.0,0,0,0,0,0,,,False,
Victor Bolden,WR,,0.0,0.0,0.0,,,False,,,,,False,,False,0.0,0,0,0,0,0,,,False,
Miles Austin,WR,,0.0,0.0,0.0,,,False,,,,,False,,False,0.0,0,0,0,0,0,,,False,
Ryan Grant,WR,,0.0,0.0,0.0,,,False,,,,,False,,False,0.0,0,0,0,0,0,,,False,
DeVante Parker,WR,,0.0,0.0,0.0,,,False,,,,,False,,False,0.0,0,0,0,0,0,,,False,
Aaron Lacombe,WR,,0.0,0.0,0.0,,,False,,,,,False,,False,0.0,0,0,0,0,0,,,False,
T.J. Yates,QB,,0.0,0.0,0.0,,,False,,,,,False,,False,0.0,0,0,0,0,0,,,False,
Ryan Mathews,RB,,0.0,0.0,0.0,,,False,,,,,False,,False,0.0,0,0,0,0,0,,,False,
